SAW4x4D15,0.771274,1,0.000756853,0.054458,0.0951665,0.204806,0,0.072499,0.374591,0.565764,0.0953725,0.210177,0.0511483,0.109901,0.281055,0.32179,0.272657,0.310216,0.255946,0.291444,0.248939,0.283824,0.216993,0.249183,0.354007,0.402038,0.40604,0.46092,0.24865,0.285244,0.749921,0.823474
SAW5x3D14,0.745732,1,0.0407969,0.0807386,0.0425669,0.140578,0,0.0435976,0.343876,0.570294,0.0272322,0.107977,0.0719676,0.121663,0.374275,0.41775,0.373306,0.411707,0.371846,0.410029,0.360671,0.398481,0.32613,0.362346,0.43951,0.488714,0.478984,0.534196,0.347863,0.385964,0.591776,0.637952
SAW5x4D19,0.0846693,0.154704,0.0207032,0.0373258,0.0174265,0.0309795,0.011259,0.0250632,0.0345356,0.0530551,0,0.0136265,0.0509523,0.0700956,0.381434,0.410803,0.386858,0.417077,0.397353,0.426139,0.403163,0.430264,0.370368,0.395704,0.424099,0.457124,0.446529,0.48439,0.341979,0.367077,0.944859,1
SAW5x5D24,0.207137,0.31439,0.428039,0.511102,0.231656,0.325163,0.378457,0.469153,0,0.108414,0.260081,0.351347,0.457699,0.540254,0.789171,0.876976,0.776669,0.856763,0.733508,0.810421,0.689737,0.761022,0.628917,0.701475,0.824495,0.915132,0.836267,0.936682,0.767213,0.844812,0.938198,1
SAW6x4D23,0.251056,0.374743,0.391571,0.470999,0.140149,0.231707,0.354075,0.446228,0,0.096247,0.283863,0.370111,0.456059,0.540601,0.851786,0.933866,0.739227,0.813591,0.719557,0.794497,0.640412,0.708602,0.555179,0.623998,0.887164,0.968331,0.904964,1,0.68251,0.756042,0.765212,0.818967
P8/PiUS8,0.0227909,0.0541859,0.0422015,0.0507298,0.0292473,0.0366939,0.0453212,0.0532838,0,0.00892717,0.0254945,0.0327123,0.0523637,0.0634808,0.364652,0.379521,0.37691,0.391683,0.372983,0.387729,0.320966,0.332861,0.265944,0.276063,0.373464,0.389325,0.424152,0.444173,0.309152,0.32196,0.974729,1
P9/PiUS9,0,0.13007,0.293387,0.375691,0.200902,0.253608,0.288432,0.354062,0.0140967,0.0569643,0.22399,0.28438,0.326193,0.412019,0.636754,0.705078,0.657269,0.711077,0.666338,0.722152,0.621611,0.666065,0.552162,0.594277,0.630023,0.703592,0.647197,0.738744,0.649655,0.704887,0.940008,1
P10/PiUS10,0,0.0718335,0.221579,0.27401,0.17697,0.214279,0.23386,0.283354,0.0445716,0.065168,0.194242,0.236465,0.241623,0.299974,0.511962,0.550753,0.541232,0.576199,0.540364,0.57477,0.46442,0.493863,0.401493,0.429098,0.549319,0.590128,0.571739,0.621163,0.465445,0.498767,0.783962,1
TSP12-AD12,0,0.0245914,0.108253,0.117419,0.109641,0.117377,0.10256,0.110122,0.1463,0.156288,0.102684,0.110618,0.12408,0.13581,0.615349,0.643773,0.621116,0.649737,0.618322,0.647177,0.614964,0.642848,0.618889,0.64673,0.621589,0.651933,0.630291,0.662488,0.586863,0.613118,0.946119,1
TSP12-BD12,0,0.0373583,0.0984123,0.110499,0.103735,0.113187,0.0936298,0.103078,0.129166,0.140368,0.091051,0.100696,0.110572,0.123988,0.609717,0.641548,0.616393,0.647558,0.62074,0.651806,0.632122,0.663908,0.620129,0.651173,0.651318,0.685439,0.63852,0.672981,0.597851,0.626929,0.944819,1
TSP12-CD12,0,0.0270487,0.109907,0.120093,0.108316,0.11667,0.0943284,0.102437,0.144152,0.154785,0.0953502,0.10375,0.115741,0.128133,0.602071,0.632749,0.622486,0.651883,0.618051,0.648569,0.627991,0.656526,0.622325,0.651417,0.630883,0.66367,0.651972,0.68641,0.60344,0.632405,0.946273,1
TSP16-AD16,0,0.0744106,0.0869341,0.102404,0.04747,0.0519155,0.0537907,0.0602881,0.055053,0.0598275,0.0427474,0.0478352,0.105685,0.132639,0.453872,0.472102,0.423526,0.438328,0.422742,0.437071,0.398654,0.412028,0.383799,0.396193,0.475105,0.494676,0.516567,0.541248,0.38693,0.401631,0.965864,1
TSP16-BD16,0,0.0279803,0.0894241,0.110909,0.0497196,0.0545311,0.054528,0.060279,0.0678834,0.073649,0.0478221,0.055134,0.109763,0.13453,0.444364,0.462891,0.420124,0.435841,0.414685,0.429627,0.400545,0.414601,0.37794,0.391477,0.459425,0.47863,0.494948,0.518559,0.37472,0.389335,0.96458,1
TSP16-CD16,0,0.0393059,0.154134,0.21286,0.0562049,0.0615722,0.0690249,0.0767845,0.0628441,0.0716744,0.0565598,0.0633673,0.203738,0.283531,0.507854,0.530031,0.457518,0.473631,0.452845,0.468832,0.423325,0.437331,0.411429,0.425427,0.5327,0.555171,0.589715,0.6184,0.423329,0.438971,0.96876,1
TSP20-AD20,0,0.0934901,0.825807,1,0.0790971,0.132259,0.191472,0.269348,0.0290286,0.0617641,0.174765,0.253521,0.776547,0.955051,0.702973,0.754252,0.450625,0.469824,0.450993,0.470744,0.37614,0.391368,0.35036,0.364795,0.691405,0.748425,0.904382,0.989927,0.421661,0.441708,0.896673,0.928783
TSP20-BD20,0,0.0803479,0.347569,0.467929,0.0153868,0.0257602,0.0458347,0.0631897,0.0088595,0.0140807,0.0228159,0.0404927,0.391967,0.516002,0.523276,0.552615,0.420209,0.436659,0.419168,0.435731,0.366806,0.381049,0.340296,0.353432,0.549296,0.579204,0.649644,0.6931,0.372617,0.388224,0.965989,1
TSP20-CD20,0,0.181222,0.610133,0.772398,0.0225973,0.048806,0.0936911,0.132313,0.012202,0.0178816,0.0569257,0.105373,0.751641,0.950485,0.650969,0.690345,0.459524,0.477156,0.456684,0.473451,0.395245,0.40976,0.359474,0.373119,0.641506,0.680445,0.783425,0.846962,0.417161,0.434522,0.967079,1
SymSingleD5,0.197792,1,0.000216961,0.00144795,0.000124928,0.000732465,0.000133953,0.000766191,0,0.000477385,0.000344501,0.0010354,0.000219454,0.000984695,0.531959,0.531959,0.531959,0.531959,0.531959,0.531959,0.531959,0.531959,0.531959,0.531959,0.531959,0.531959,0.529584,0.529584,0.531959,0.531959,0.531959,0.531959
